galaxy,snapshot,snap_int,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom
M31,362,362,5171.42856,3,-32.752951212378335,99.64424325148117,-37.28211648197207,27.822400355752784,27.569469164732453
M31,363,363,5185.71428,1,-33.1507,101.15899999999999,-36.9749,31.904366779190756,28.652875068323702
M31,363,363,5185.71428,2,-32.811296415072285,100.8356438491213,-36.9755935977867,25.299175175181897,30.563477652744467
M31,363,363,5185.71428,3,-32.365637936859926,99.82603560981802,-36.888886417202706,27.720038344575777,30.23439321728043
M31,364,364,5199.99998,1,-31.961,100.719,-36.7913,39.173120087699324,28.97379455125285
M31,364,364,5199.99998,2,-32.37129749564544,101.05551100832204,-36.55721778594929,24.466935443966765,31.618837237160644
M31,364,364,5199.99998,3,-32.004900234130346,99.99065838637325,-36.45818484758781,25.220950843271513,31.98816247396988
M31,365,365,5214.2857,1,-31.727594444444446,101.59633181818182,-36.093709090909094,34.41891064846417,37.61640881638226
M31,365,365,5214.2857,2,-31.981976580011555,101.29170911996918,-36.091801382630464,23.095384441136588,32.714807937708386
M31,365,365,5214.2857,3,-31.63315635174603,100.23263846941799,-36.0270512005291,29.92082319093181,33.99031084102278
M31,366,366,5228.57142,1,-3.858841406328357,80.33327981799569,-11.898654469771142,11.384221425925919,27.705380999999996
M31,366,366,5228.57142,2,-31.57565788436268,101.62393419891345,-35.67568338596113,24.624696464283524,33.18845237544851
M31,366,366,5228.57142,3,-31.266721326958088,100.4954385325995,-35.60081442194115,29.954433458904802,31.383476868052277
M31,367,367,5242.85712,1,0.0,0.0,0.0,0.0,0.0
M31,367,367,5242.85712,2,-31.186568124816763,101.96656238297207,-35.22207722572953,27.121147320292128,33.992282309827964
M31,367,367,5242.85712,3,-30.825491302074514,100.78334776143099,-35.14439088526672,32.662411434762575,34.428883251202805
M31,368,368,5257.14285,1,-30.523161224489797,101.96849591836735,-34.32181020408163,27.79698508695653,33.77586572463769
M31,368,368,5257.14285,2,-30.776405227153234,102.3275888146749,-34.74529033746811,26.715531845167643,35.16444045789586
M31,368,368,5257.14285,3,-30.36075336625384,101.0808827006457,-34.67852715398539,34.07388216520221,37.21306764568149
M31,369,369,5271.42857,1,-30.118937777777777,102.27842222222222,-34.05601111111111,30.923920275779384,28.358466063549166
M31,369,369,5271.42857,2,-30.401170094495217,102.70781201078836,-34.25021049731261,26.928453622289446,36.793685489890905
M31,369,369,5271.42857,3,-29.90361712607453,101.43391736809231,-34.198643809210246,32.659264779642605,36.026272751274696
M31,370,370,5285.71427,1,-29.042559999999998,102.66799999999999,-33.91222,29.077234076830738,34.264405930372156
M31,370,370,5285.71427,2,-29.98534855053988,103.12486230515154,-33.768355305093586,27.447098215228802,36.38231386976691
M31,370,370,5285.71427,3,-29.768698300590575,102.8625667952272,-33.56871581294444,32.09797756659095,38.700043346266405
M31,371,371,5299.99999,1,0.0,0.0,0.0,0.0,0.0
M31,371,371,5299.99999,2,-29.56093828181206,103.56235710301048,-33.28263977685871,28.05074001723652,37.42945322210462
M31,371,371,5299.99999,3,-29.269356860577588,103.31619128091751,-32.97743150476717,32.16540565010635,38.11192969720007
M31,372,372,5314.28571,1,-28.88966935483871,103.85024193548387,-32.53927580645161,27.30743249638555,32.66114955301206
M31,372,372,5314.28571,2,-29.141153938226157,104.0187591261168,-32.77718292342498,29.350490948187304,38.279181948971114
M31,372,372,5314.28571,3,-28.801514096551724,103.75267671724139,-32.44020325517241,33.21377531787004,35.34183004037067
M31,373,373,5328.57141,1,-28.201910994764397,103.9755392670157,-31.744784816753928,24.709362038834957,33.72962238349515
M31,373,373,5328.57141,2,-28.670003565445228,104.48821544905141,-32.26150900149174,28.710337632186945,38.80095296925809
M31,373,373,5328.57141,3,-28.33544079202437,104.21405314317363,-31.913452243145944,33.695567801398354,39.10145649707062
M31,374,374,5342.85714,1,-28.3965,104.581,-31.3881,23.170182689655174,40.785849358977416
M31,374,374,5342.85714,2,-28.220973770914018,104.99362534101532,-31.728301772134994,30.78900471125152,38.31759362608194
M31,374,374,5342.85714,3,-27.892163355927515,104.6981310693042,-31.36199872734818,31.54123822160751,40.48738079591626
M31,375,375,5357.14284,1,-27.839676041666667,104.853134375,-30.740719270833335,27.381324457177033,41.74725495095695
M31,375,375,5357.14284,2,-27.71009217929932,105.51983166948943,-31.192805846543227,32.033065835490774,39.55106232214114
M31,375,375,5357.14284,3,-27.467061810642708,105.24927781617139,-30.769704422944024,32.673561309254325,39.21154643396454
M31,376,376,5371.42856,1,-27.189233,105.442115,-29.6410865,31.992827724178408,35.26284980751174
M31,376,376,5371.42856,2,-26.995833703750474,105.85049829523929,-30.176764162141684,30.507177509378902,40.94620248015074
M31,376,376,5371.42856,3,-26.98087482054114,105.83693416620652,-30.201427954168967,33.7158785824058,41.650942155989526
M31,377,377,5385.71428,1,-27.200164173228348,106.11733484251968,-29.3683124015748,32.8630672251185,33.357100060782
M31,377,377,5385.71428,2,-26.547801995231524,106.43830016313214,-29.583900075291755,31.71291665465137,42.53079080418146
M31,377,377,5385.71428,3,-26.53407430383237,106.4609900330852,-29.594580148883374,32.774094845242075,43.13863655645303
M31,378,378,5399.99998,1,0.0,0.0,0.0,0.0,0.0
M31,378,378,5399.99998,2,-26.09432381769174,107.09459703504044,-29.01296345258515,33.04036434801355,44.81158529271108
M31,378,378,5399.99998,3,-26.060171619204844,107.13407090383822,-28.96640957490714,32.51264670258868,43.91052689753579
M31,379,379,5414.2857,1,-25.636019565217392,108.15283152173913,-28.539972826086956,45.44150679186047,42.07472049813721
M31,379,379,5414.2857,2,-25.637563839862246,107.77557167455876,-28.416781790787773,33.639251482169996,45.155595232146766
M31,379,379,5414.2857,3,-25.618502694114397,107.77073611494887,-28.36356599889472,32.940840479235376,42.110122284657486
M31,380,380,5428.57142,1,-25.3236,108.39833333333333,-27.882433333333335,43.74115606674615,46.167497257449355
M31,380,380,5428.57142,2,-25.151909231714814,108.46863601720959,-27.848134333128456,34.53687816187522,46.169973746108774
M31,380,380,5428.57142,3,-25.185999534264802,108.45807717897539,-27.845350499001995,32.91384328321332,39.19245669747953
M31,381,381,5442.85712,1,-24.52794482109228,109.31822391713747,-27.0457856873823,46.21403189132948,43.560545410404636
M31,381,381,5442.85712,2,-24.491682844221106,109.18364922110553,-27.38276088442211,36.46205313547998,47.860061645655655
M31,381,381,5442.85712,3,-24.548280399899138,109.19585741342598,-27.241421662882438,34.53084143823312,42.15494735304426
M31,382,382,5457.14285,1,-23.992851612903227,109.92429032258065,-26.775924193548388,46.275516324631106,46.42594188308741
