galaxy,snapshot,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom,vzcom
M33,166,2371.42857,2,-40.31106958099251,453.1786171582397,-39.01217189840824,142.43042079557856,-170.8264513976059,58.52191243143533
M33,166,2371.42857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,167,2385.71427,1,-38.67544044117647,451.2870073529412,-37.77882426470588,140.18898264448333,-173.20767478108576,57.16291007583186
M33,167,2385.71427,2,-38.267645335689046,450.72101260306243,-38.18983372202591,140.35582459412268,-171.68042440957615,57.485687158701595
M33,167,2385.71427,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,168,2399.99999,1,-36.48723636363636,448.59536363636363,-37.2262,137.93636253054103,-174.59218027923214,56.0514425026178
M33,168,2399.99999,2,-36.266204200094386,448.2634314535158,-37.35895516753185,139.3840092572676,-171.77294815829197,58.53160363827452
M33,168,2399.99999,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,169,2414.28571,1,0.0,0.0,0.0,0.0,0.0,0.0
M33,169,2414.28571,2,-34.28604099952629,445.814677048792,-36.53164072714353,137.5411777048134,-170.49633215811042,58.07718902961604
M33,169,2414.28571,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,170,2428.57141,1,-32.84716423357664,443.4827518248175,-35.71267153284671,137.0950684482759,-178.59594839655173,54.34463653793104
M33,170,2428.57141,2,-32.33422187314054,443.3857449720338,-35.70683098893252,136.42989598837357,-171.14378228106125,56.44508446703946
M33,170,2428.57141,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,171,2442.85713,1,-30.65115,440.896125,-34.71763125,137.36795483535528,-178.34695727902948,52.93138184922011
M33,171,2442.85713,2,-30.419510864612064,440.94876567933807,-34.916625854418996,132.35178560468123,-170.43577749541578,55.60129168707042
M33,171,2442.85713,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,172,2457.14286,1,-28.852382835820894,438.3772985074627,-34.25711492537314,136.33834108808287,-178.04210846286702,52.693372226943
M33,172,2457.14286,2,-28.564365171121054,438.51912419881484,-34.10343750151167,130.90904258540567,-171.4968460379801,55.49520280861025
M33,172,2457.14286,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,173,2471.42856,1,-26.84847925925926,435.94626666666665,-33.42189111111111,134.9441794532872,-176.9128277854671,51.85429017474048
M33,173,2471.42856,2,-26.720956165386024,436.0746255640932,-33.31640972069765,129.9301798413681,-171.60310860487695,55.02804375429433
M33,173,2471.42856,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,174,2485.71428,1,-24.87792448979592,433.5534761904762,-32.643149659863944,132.3655171061644,-178.87934869863014,51.72881562020548
M33,174,2485.71428,2,-24.90564058113765,433.6123554543216,-32.51650099729131,126.92406418743248,-173.40078512740223,54.612221233573734
M33,174,2485.71428,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,175,2500.0,1,-97.86278910400164,505.81065358506055,-28.932886625076954,312.156,-154.343,38.0544
M33,175,2500.0,2,-23.085344286957604,431.112590078329,-31.73896916573418,125.5320715066515,-175.88103149227942,53.64243363912104
M33,175,2500.0,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,176,2514.2857,1,-95.96210390605377,504.22907404063204,-27.67570708627847,310.949,-156.422,36.6644
M33,176,2514.2857,2,-21.291502017654476,428.5976609079445,-30.972630592686002,125.35791426908871,-176.43849179226947,51.2173433442129
M33,176,2514.2857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,177,2528.57142,1,-94.31597936655109,502.5303153467378,-26.48403589296266,309.73,-158.448,35.3104
M33,177,2528.57142,2,-19.522771666027364,426.0699107531006,-30.256164365170694,123.48376637443842,-177.16408957798052,50.19923073815334
M33,177,2528.57142,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,178,2542.85712,1,-92.43202171986049,500.93209987689784,-25.241859680077965,308.464,-160.458,33.9967
M33,178,2542.85712,2,-17.772218838142063,423.5317700866865,-29.542047185923145,120.50494627041034,-176.90879660583153,49.485805959965425
M33,178,2542.85712,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,179,2557.14285,1,-15.99272,420.9506,-29.1247,123.62404041056219,-179.2902551959114,44.97608158432708
M33,179,2557.14285,2,-16.059877950744106,420.9905854076123,-28.84178166732517,120.28048861337363,-178.78075945014578,48.75021528395376
