snapshot,time_Myr,bin_index,r_mid,sigma_rad,sigma_tan,sigma_z
489,6985.71427,1,1.5,138.30821425101863,183.90659332222594,61.520008230783525
489,6985.71427,2,2.5,133.60069657766914,186.58427275819682,64.2844291816881
489,6985.71427,3,3.5,122.79244195293171,192.84726637642976,59.7995051925083
489,6985.71427,4,4.5,119.26111455890624,191.2451973631363,56.665813846189316
489,6985.71427,5,5.5,114.86796754854501,192.29323193095462,56.29852573654002
489,6985.71427,6,6.5,118.64762651459489,186.39127749554328,50.11117366598327
489,6985.71427,7,7.5,128.569439264963,178.20798454504455,43.92871972664853
489,6985.71427,8,8.5,113.52558877522345,192.1419220410924,47.82058301208686
489,6985.71427,9,9.5,103.79385037444926,194.93445804125787,43.52271978168272
489,6985.71427,10,10.5,118.54040171893027,183.85495456546545,41.82180028493293
489,6985.71427,11,11.5,117.65949201613128,176.18377337185166,39.27681966665099
489,6985.71427,12,12.5,121.61503377400624,180.51021003887521,39.046593052150826
489,6985.71427,13,13.5,116.83421392191993,177.49964754133995,34.92743861123835
489,6985.71427,14,14.5,107.13528099555656,193.69309244483466,32.408337871769696
489,6985.71427,15,15.5,120.64941834316721,178.06334419292241,37.12212012042959
489,6985.71427,16,16.5,116.59651874874886,176.93968969803336,41.452260272767546
489,6985.71427,17,17.5,130.03487230679096,168.73965335068115,29.71534992687294
489,6985.71427,18,18.5,111.82996965154955,174.20160933988512,34.20466920679358
489,6985.71427,19,19.5,100.92334073787005,181.5111011811967,32.698357474990715
490,6999.99999,0,0.5,153.10584679034633,173.4773178938189,67.48246552401466
490,6999.99999,1,1.5,134.36478073969138,183.04288186521703,60.99386354607139
490,6999.99999,2,2.5,129.28901057507125,181.25002714199593,62.693144312755265
490,6999.99999,3,3.5,127.65603667800781,185.00926758296245,59.89448581070255
490,6999.99999,4,4.5,114.65520882414296,188.62259852679745,59.81430338779742
490,6999.99999,5,5.5,109.58924056042333,187.2301615666092,53.534916597738025
490,6999.99999,6,6.5,124.39918669328429,178.99703155706305,50.02627675824559
490,6999.99999,7,7.5,129.77034944926928,173.06032045989753,43.181203243766355
490,6999.99999,8,8.5,120.9705867879099,183.30098937529377,44.5493565329027
490,6999.99999,9,9.5,99.68990696283124,193.6096879955609,42.163788412080166
490,6999.99999,10,10.5,118.77982918447479,181.66817690202276,39.78826464153143
490,6999.99999,11,11.5,123.679976638218,173.75559965722107,38.98168894516707
490,6999.99999,12,12.5,96.0313246919625,178.10029477173345,41.438823874633016
490,6999.99999,13,13.5,125.16219613077244,176.9670973692557,35.57252180645263
490,6999.99999,14,14.5,110.55281227007619,179.16748831434194,35.30949608049138
490,6999.99999,15,15.5,110.85485172909695,184.6975433008661,35.72216463020913
490,6999.99999,16,16.5,124.01283720067741,166.15331860093679,35.68972761807089
490,6999.99999,17,17.5,120.36727684633881,171.44756389583853,32.818314386365
490,6999.99999,18,18.5,106.2364391494426,167.4153732708447,34.457123262382716
490,6999.99999,19,19.5,134.86510877270646,163.58693002757394,32.10385224878659
491,7014.28571,0,0.5,150.46669784881263,173.86315046918534,66.3521935282054
491,7014.28571,1,1.5,130.93854081767157,180.36112490893098,61.156563189375795
491,7014.28571,2,2.5,129.6117276184504,178.0817522539624,60.78523622441553
491,7014.28571,3,3.5,120.53240607914361,183.24537430345538,61.92490457331175
491,7014.28571,4,4.5,120.58500885385003,179.6791434502938,56.84212810858076
491,7014.28571,5,5.5,113.99705774331234,181.7899829871703,55.200832283439055
491,7014.28571,6,6.5,118.08355704603534,177.92905556031099,46.85734051766951
491,7014.28571,7,7.5,127.60428220534332,174.37467330219468,44.628180023020334
491,7014.28571,8,8.5,122.30425293389851,172.27139933248472,40.75600575858613
