snapshot,snap_int,time_Myr,r_M31_M33,M31_enc,M33_total,JacobiR
442,442,6314.2857,98.87166444319465,692960971679.9999,91519731860.00002,39.963529256353695
443,443,6328.57142,97.3708261036506,682677817709.9999,91631699720.00002,39.56964673847106
444,444,6342.85714,96.06551359409822,670837938100.0,91780990200.00002,39.288841061559594
445,445,6357.14284,94.13965849963758,657904375790.0,91818312820.00002,38.757117036395556
446,446,6371.42856,92.43459989904885,644093620690.0,92041248540.00002,38.35621417490594
447,447,6385.71428,90.58012058028541,632145762119.9999,92265184260.00002,37.85266287090857
448,448,6399.99998,89.88569104962409,624727176859.9999,92450797360.0,37.73583669799383
449,449,6414.28571,87.00949138144217,604527598100.0,92525442600.00002,36.940687837194915
450,450,6428.57141,85.13494232861623,591229242640.0,92674733080.0,36.43339649101915
451,451,6442.85713,83.21995085096341,576060810099.9999,92824023560.00002,35.94304025614097
452,452,6457.14285,81.33684081363623,560786707100.0,92935991420.00002,35.46005270270699
453,453,6471.42855,79.22426448413589,544378101950.0,92935991420.00002,34.88263741574298
454,454,6485.71427,77.12539096871282,530084032230.0,93047959280.0,34.27478639486303
455,455,6500.0,74.98036869798472,514300108920.0,92935991420.00002,33.645476221262975
456,456,6514.2857,72.83410083268014,501493898050.0,93270895000.0,32.99779561072911
457,457,6528.57142,70.75400333603382,488655713480.0,93494830720.00002,32.35955634374314
458,458,6542.85714,68.45953154180387,475388491230.00006,93681443820.0,31.619783723340056
459,459,6557.14284,66.25805070403985,463285786910.0,93717766440.00002,30.871161799998372
460,460,6571.42856,64.18795657249204,451463630360.0,93717766440.00002,30.165459018864258
461,461,6585.71428,61.997018724019796,440193309900.0,93755089060.00002,29.38627995223406
462,462,6599.99999,59.86448695780627,429766140150.0,94016347400.00002,28.629668930164517
463,463,6614.28571,57.88943267973938,422125043940.0,93941702160.00002,27.84379303656804
464,464,6628.57141,55.97990094014419,411769926790.0,93978024780.00002,27.152679263772214
465,465,6642.85713,54.23180279511448,402328790320.0,94015347400.00002,26.5124537766473
466,466,6657.14285,52.55909345619554,393108159540.0,93790411680.0,25.873389626090525
467,467,6671.42855,51.11927439047511,384830328889.99994,93978024780.00002,25.36064855610719
468,468,6685.71427,49.35391023072763,375981908390.0,94127315260.0,24.688487033868537
469,469,6700.0,48.82470056101947,372834947020.0,94015347400.00002,24.482568060271223
470,470,6714.2857,48.05875354768222,368854112740.0,93977024780.00002,24.181590254080454
471,471,6728.57142,47.52437234261189,365708492290.0,93711766440.00002,23.95848860313542
472,472,6742.85714,47.157462580013735,362328418750.0,93711766440.00002,23.84721526956088
473,473,6757.14284,47.349796086841216,363415771910.0,93861056920.0,23.933268007758837
474,474,6771.42856,47.75895564540081,365684035660.0,93821734300.0,24.0867002497694
475,475,6785.71426,48.149807656190546,370523010990.0,93894379540.00002,24.183882752665514
476,476,6799.99999,48.945257085373896,375847698860.0,93590798580.0,24.44036577185493
477,477,6814.28571,50.257144312450876,386607564510.0,93212572380.0,24.826901686809677
478,478,6828.57141,50.288318374638415,387621490020.0,92875668800.00002,24.790682530017914
479,479,6842.85713,52.8151442446946,404776174069.99994,92685055700.0,25.6456314265424
480,480,6857.14285,54.5262523381305,414508288640.0,92419797360.0,26.24256297604933
481,481,6871.42855,55.362095540689864,420599716210.0,91969925920.00002,26.47249098231007
482,482,6885.71428,57.087368394768596,431128809750.0,91857958060.0,27.062418483765388
483,483,6900.0,59.56558810190231,444185089000.0,91589699720.00002,27.93056077687776
484,484,6914.2857,61.61159938550387,455726318330.0,91287118760.0,28.612399547680386
485,485,6928.57142,63.70043313862719,467090696650.0,91168150900.00002,29.32781421995082
486,486,6942.85714,65.72518536716548,476889210860.0,90789924700.0,30.0097152103252
487,487,6957.14284,67.70468509646955,488022711870.0,90677956840.0,30.6640340115073
488,488,6971.42856,69.62917834696368,497974843940.0,90377375879.99998,31.289506455478314
489,489,6985.71427,71.5970014438334,508162316930.0,89888181820.00002,31.899573894443144
490,490,6999.99999,73.64239602068886,517069606790.0,89513955620.0,32.57605511252498
491,491,7014.28571,75.51317305295034,524561809910.0,89400987760.00002,33.229816046030365
492,492,7028.57141,77.3152348166634,530495329469.9999,89027761560.00002,33.84826224533844
493,493,7042.85713,79.12263634830627,539071252110.0,88654535360.00002,34.40664655471303
494,494,7057.14285,80.97068438146012,545728299260.0,88205663920.0,35.00723507333997
495,495,7071.42855,82.62918283113004,553269348129.9999,87868760340.0,35.515894362268554
496,496,7085.71428,84.26005996994733,560796391740.0,87569179380.0,36.01309569894694
497,497,7100.0,85.85450218314783,566054383709.9999,87195953180.0,36.52855277951771
498,498,7114.2857,87.42350344706827,573134431720.0,86897372220.0,36.99998851360996
499,499,7128.57142,88.9195310042072,578208747970.0,86486823400.0,37.46354994195624
500,500,7142.85712,90.29229944671852,583028569049.9999,86372855540.0,37.920133871680264
501,501,7157.14284,91.69158295378733,587945220100.0,86111597200.0,38.361395615257194
502,502,7171.42857,92.99053336228818,591851023680.0,85999629340.0,38.80224012158074
503,503,7185.71427,94.25696709555139,597350319750.0,85888661480.0,39.19274731400973
504,504,7199.99999,95.53302974922217,602934477350.0,85664725760.0,39.565882425840236
505,505,7214.28571,96.67468974260585,607891958369.9999,85364144800.0,39.882816493717065
506,506,7228.57141,97.76096676624928,610768882920.0,85438790040.0,40.279266318488546
507,507,7242.85713,98.85497857606772,614495005519.9999,85364144800.0,40.6356857620316
508,508,7257.14285,99.89021135032655,619972322630.0,85252176940.0,40.922044700376844
