# snap  time[Myr]  R_bin(kpc)  warp[deg]  h_z[kpc]
497    7100.00  399.98     nan      nan
498    7114.29   21.14  108.61    4.342
498    7114.29   63.42  140.66   19.326
498    7114.29  105.69  137.42   12.768
498    7114.29  147.97  137.34   32.726
498    7114.29  190.25  132.82   28.201
498    7114.29  232.52  131.87   32.828
498    7114.29  274.80  124.64   54.361
498    7114.29  317.08  124.31   44.839
498    7114.29  359.36  127.19   44.336
498    7114.29  401.63     nan      nan
499    7128.57   21.22  108.87    4.364
499    7128.57   63.66  139.84   18.697
499    7128.57  106.10  137.65   16.005
499    7128.57  148.54  137.30   32.020
499    7128.57  190.98  132.44   27.757
499    7128.57  233.42  131.89   33.388
499    7128.57  275.86  123.99   54.866
499    7128.57  318.30  124.61   45.349
499    7128.57  360.75  127.00   43.382
499    7128.57  403.19     nan      nan
500    7142.86   21.30  108.43    4.332
500    7142.86   63.89  139.82   18.705
500    7142.86  106.49  136.75   14.998
500    7142.86  149.08  138.22   31.291
500    7142.86  191.68  131.96   27.896
500    7142.86  234.27  131.26   33.112
500    7142.86  276.87  124.04   55.872
500    7142.86  319.47  124.52   45.519
500    7142.86  362.06  126.91   43.388
500    7142.86  404.66     nan      nan
501    7157.14   21.37  108.55    4.325
501    7157.14   64.11  139.40   18.544
501    7157.14  106.85  137.01   14.485
501    7157.14  149.59  138.01   30.918
501    7157.14  192.33  132.18   27.814
501    7157.14  235.07  130.80   32.831
501    7157.14  277.81  123.60   57.322
501    7157.14  320.54  124.87   43.819
501    7157.14  363.28  126.85   43.388
501    7157.14  406.02     nan      nan
502    7171.43   21.44  107.97    4.301
502    7171.43   64.31  138.55   18.395
502    7171.43  107.18  136.94   14.690
502    7171.43  150.06  137.71   30.515
502    7171.43  192.93  132.06   27.724
502    7171.43  235.80  130.71   32.971
502    7171.43  278.68  123.48   57.841
502    7171.43  321.55  124.80   43.949
502    7171.43  364.42  126.78   43.390
502    7171.43  407.30     nan      nan
503    7185.71   21.50  107.87    4.272
503    7185.71   64.49  139.58   15.924
503    7185.71  107.48  133.66   24.399
503    7185.71  150.48  137.56   29.379
503    7185.71  193.47  131.89   27.842
503    7185.71  236.47  130.78   32.975
503    7185.71  279.46  123.60   58.039
503    7185.71  322.45  124.94   43.961
503    7185.71  365.45  126.92   43.348
503    7185.71  408.44     nan      nan
504    7200.00   21.56  108.38    4.258
504    7200.00   64.68  138.53   15.114
504    7200.00  107.79  133.13   25.494
504    7200.00  150.91  137.73   28.325
504    7200.00  194.03  131.56   28.069
504    7200.00  237.15  129.67   37.556
504    7200.00  280.27  123.59   58.278
504    7200.00  323.38  124.64   44.198
504    7200.00  366.50  126.62   43.381
504    7200.00  409.62     nan      nan
505    7214.29   21.61  107.38    4.244
505    7214.29   64.84  137.47   14.886
505    7214.29  108.07  132.80   24.810
505    7214.29  151.30  137.54   27.319
505    7214.29  194.53  131.43   28.201
505    7214.29  237.76  129.24   37.457
505    7214.29  280.99  123.52   58.999
505    7214.29  324.22  124.32   44.472
505    7214.29  367.45  126.50   43.371
505    7214.29  410.68     nan      nan
506    7228.57   21.67  106.55    4.172
506    7228.57   65.01  137.90   15.448
506    7228.57  108.35  132.38   23.833
506    7228.57  151.69  137.34   26.690
506    7228.57  195.02  130.80   28.019
506    7228.57  238.36  128.80   38.021
506    7228.57  281.70  123.17   59.607
506    7228.57  325.04  123.71   44.959
506    7228.57  368.38  126.07   43.414
506    7228.57  411.72     nan      nan
507    7242.86   21.71  105.50    4.103
507    7242.86   65.13  139.19   15.843
507    7242.86  108.55  131.44   23.377
507    7242.86  151.97  136.95   26.938
507    7242.86  195.39  131.00   27.055
507    7242.86  238.81  128.96   38.353
507    7242.86  282.23  123.50   59.402
507    7242.86  325.65  124.01   44.832
507    7242.86  369.07  126.35   43.314
507    7242.86  412.50     nan      nan
508    7257.14   21.75  106.23    4.120
508    7257.14   65.25  138.54   15.805
508    7257.14  108.75  132.23   25.600
508    7257.14  152.24  136.80   22.614
508    7257.14  195.74  131.02   26.323
508    7257.14  239.24  128.40   40.570
508    7257.14  282.74  123.34   60.190
508    7257.14  326.24  124.01   44.871
508    7257.14  369.74  126.33   43.266
508    7257.14  413.24     nan      nan
509    7271.43   21.79  105.52    4.097
509    7271.43   65.37  138.27   15.600
509    7271.43  108.94  132.84   25.644
509    7271.43  152.52  136.08   22.362
509    7271.43  196.10  130.54   26.112
509    7271.43  239.67  128.09   41.002
509    7271.43  283.25  123.03   60.833
509    7271.43  326.83  123.73   45.042
509    7271.43  370.40  126.06   43.258
509    7271.43  413.98     nan      nan
510    7285.71   21.82  105.26    4.104
510    7285.71   65.47  137.38   15.606
510    7285.71  109.11  134.87   24.834
510    7285.71  152.75  135.52   22.304
510    7285.71  196.40  130.14   25.984
510    7285.71  240.04  127.74   41.345
510    7285.71  283.69  122.90   60.802
510    7285.71  327.33  123.25   45.612
510    7285.71  370.97  125.74   43.233
510    7285.71  414.62     nan      nan
511    7300.00   21.85  104.87    4.083
511    7300.00   65.55  137.06   15.869
511    7300.00  109.24  134.65   24.546
511    7300.00  152.94  135.67   21.879
511    7300.00  196.64  130.14   25.547
511    7300.00  240.33  126.82   43.180
511    7300.00  284.03  123.29   61.550
511    7300.00  327.73  123.24   45.626
511    7300.00  371.43  125.72   43.168
511    7300.00  415.12     nan      nan
512    7314.29   21.87  103.61    3.934
512    7314.29   65.61  137.15   16.820
512    7314.29  109.35  135.12   23.881
512    7314.29  153.08  134.68   21.467
512    7314.29  196.82  130.26   25.682
512    7314.29  240.56  126.94   43.130
512    7314.29  284.30  123.21   61.815
512    7314.29  328.04  123.70   44.392
512    7314.29  371.78  125.85   43.070
512    7314.29  415.52     nan      nan
513    7328.57   21.90  101.91    3.903
513    7328.57   65.69  136.34   16.405
513    7328.57  109.48  135.46   23.577
513    7328.57  153.28  134.91   21.473
513    7328.57  197.07  129.63   25.470
513    7328.57  240.86  125.66   46.059
513    7328.57  284.65  122.87   62.513
513    7328.57  328.45  123.01   44.692
513    7328.57  372.24  125.27   44.072
513    7328.57  416.03     nan      nan
514    7342.86   21.92  100.96    3.875
514    7342.86   65.75  135.69   16.244
514    7342.86  109.58  136.13   23.311
514    7342.86  153.41  134.82   20.954
514    7342.86  197.24  128.65   25.738
514    7342.86  241.07  125.33   46.617
514    7342.86  284.90  122.57   62.996
514    7342.86  328.73  122.72   44.811
514    7342.86  372.56  124.96   44.038
514    7342.86  416.39     nan      nan
515    7357.14   21.93   99.92    3.863
515    7357.14   65.78  134.97   16.004
515    7357.14  109.64  136.87   22.910
515    7357.14  153.50  134.74   12.947
515    7357.14  197.35  127.97   29.653
515    7357.14  241.21  124.69   50.539
515    7357.14  285.07  122.48   62.035
515    7357.14  328.92  122.48   44.877
515    7357.14  372.78  124.72   43.981
515    7357.14  416.64     nan      nan
516    7371.43   21.94   97.43    3.711
516    7371.43   65.82  136.04   16.586
516    7371.43  109.70  136.61   22.166
516    7371.43  153.57  132.87   13.672
516    7371.43  197.45  127.92   33.105
516    7371.43  241.33  124.10   51.619
516    7371.43  285.21  122.24   62.712
516    7371.43  329.09  122.04   45.028
516    7371.43  372.96  124.29   43.952
516    7371.43  416.84     nan      nan
517    7385.71   21.94   97.41    3.711
517    7385.71   65.83  136.53   16.509
517    7385.71  109.72  135.39   21.879
517    7385.71  153.61  132.80   13.499
517    7385.71  197.50  127.45   32.838
517    7385.71  241.39  123.44   53.117
517    7385.71  285.28  122.48   62.513
517    7385.71  329.17  121.87   45.066
517    7385.71  373.06  124.10   43.882
517    7385.71  416.95     nan      nan
518    7400.00   21.95   96.92    3.678
518    7400.00   65.84  136.08   16.334
518    7400.00  109.73  134.77   22.055
518    7400.00  153.62  133.05   13.441
518    7400.00  197.52  127.28   32.304
518    7400.00  241.41  123.15   54.011
518    7400.00  285.30  122.28   62.692
518    7400.00  329.19  121.66   45.101
518    7400.00  373.09  123.89   43.808
518    7400.00  416.98     nan      nan
519    7414.29   21.95   95.56    3.658
519    7414.29   65.84  135.51   16.255
519    7414.29  109.73  134.70   21.168
519    7414.29  153.62  132.46   15.894
519    7414.29  197.52  126.41   34.877
519    7414.29  241.41  122.57   56.007
519    7414.29  285.30  122.29   61.926
519    7414.29  329.19  121.20   45.208
519    7414.29  373.09  123.43   43.758
519    7414.29  416.98     nan      nan
520    7428.57   21.94   93.67    3.623
520    7428.57   65.83  135.60   16.189
520    7428.57  109.71  133.91   20.754
520    7428.57  153.60  132.42   16.938
520    7428.57  197.48  124.33   36.456
520    7428.57  241.36  122.28   58.676
520    7428.57  285.25  122.05   61.424
520    7428.57  329.13  120.71   45.331
520    7428.57  373.02  122.92   43.713
520    7428.57  416.90     nan      nan
521    7442.86   21.93   92.89    3.518
521    7442.86   65.79  135.12   16.721
521    7442.86  109.66  133.21   20.675
521    7442.86  153.52  132.98   16.111
521    7442.86  197.38  124.13   36.251
521    7442.86  241.24  122.29   58.968
521    7442.86  285.11  121.31   62.486
521    7442.86  328.97  120.39   45.377
521    7442.86  372.83  122.60   43.636
521    7442.86  416.69     nan      nan
522    7457.14   21.92   91.45    3.503
522    7457.14   65.76  134.42   16.380
522    7457.14  109.60  133.57   20.467
522    7457.14  153.43  131.67   16.441
522    7457.14  197.27  123.31   36.117
522    7457.14  241.11  121.48   61.271
522    7457.14  284.95  120.60   63.031
522    7457.14  328.79  119.84   45.185
522    7457.14  372.63  121.75   44.329
522    7457.14  416.47     nan      nan
523    7471.43   21.90   90.48    3.495
523    7471.43   65.70  133.39   16.503
523    7471.43  109.51  134.22   19.588
523    7471.43  153.31  130.28   19.500
523    7471.43  197.11  123.21   33.857
523    7471.43  240.92  121.44   60.835
523    7471.43  284.72  119.90   64.252
523    7471.43  328.52  119.49   45.222
523    7471.43  372.33  121.40   44.247
523    7471.43  416.13     nan      nan
524    7485.71   21.88   89.00    3.430
524    7485.71   65.63  133.24   16.310
524    7485.71  109.39  133.48   19.716
524    7485.71  153.15  130.84   19.704
524    7485.71  196.90  123.40   33.623
524    7485.71  240.66  120.65   63.922
524    7485.71  284.41  120.18   61.340
524    7485.71  328.17  119.26   45.213
524    7485.71  371.93  121.16   44.145
524    7485.71  415.68     nan      nan
525    7500.00   21.85   88.42    3.433
525    7500.00   65.55  133.88   16.308
525    7500.00  109.26  133.28   19.426
525    7500.00  152.96  129.65   19.684
525    7500.00  196.66  123.60   32.234
525    7500.00  240.36  119.54   66.573
525    7500.00  284.06  120.00   60.471
525    7500.00  327.77  118.88   45.767
525    7500.00  371.47  120.88   44.045
525    7500.00  415.17     nan      nan
526    7514.29   21.82   87.50    3.390
526    7514.29   65.46  132.12   16.118
526    7514.29  109.11  133.50   19.454
526    7514.29  152.75  129.06   19.465
526    7514.29  196.39  123.32   31.621
526    7514.29  240.04  119.07   67.643
526    7514.29  283.68  119.81   59.816
526    7514.29  327.32  118.33   46.332
526    7514.29  370.97  120.53   43.965
526    7514.29  414.61     nan      nan
527    7528.57   21.79   85.82    3.350
527    7528.57   65.36  131.18   15.969
527    7528.57  108.94  133.01   19.249
527    7528.57  152.51  129.66   19.728
527    7528.57  196.09  123.29   31.818
527    7528.57  239.66  118.75   67.295
527    7528.57  283.24  119.18   61.233
527    7528.57  326.81  117.97   46.352
527    7528.57  370.39  120.17   43.867
527    7528.57  413.96     nan      nan
528    7542.86   21.75   84.30    3.314
528    7542.86   65.25  130.32   16.001
528    7542.86  108.75  133.38   18.779
528    7542.86  152.25  128.00   19.661
528    7542.86  195.75  122.82   33.200
528    7542.86  239.25  118.59   68.609
528    7542.86  282.75  117.57   60.349
528    7542.86  326.26  117.60   46.498
528    7542.86  369.76  119.12   44.587
528    7542.86  413.26     nan      nan
529    7557.14   21.71   83.50    3.296
529    7557.14   65.13  129.41   15.921
529    7557.14  108.54  133.53   18.689
529    7557.14  151.96  127.20   19.637
529    7557.14  195.38  123.08   33.572
529    7557.14  238.80  117.80   70.146
529    7557.14  282.21  116.99   58.651
529    7557.14  325.63  116.93   45.984
529    7557.14  369.05  119.02   45.467
529    7557.14  412.47     nan      nan
530    7571.43   21.66   83.28    3.301
530    7571.43   64.99  129.62   15.961
530    7571.43  108.31  132.97   18.682
530    7571.43  151.64  127.20   19.176
530    7571.43  194.97  122.94   33.731
530    7571.43  238.29  117.31   70.880
530    7571.43  281.62  116.33   57.842
530    7571.43  324.94  116.78   46.479
530    7571.43  368.27  118.63   45.362
530    7571.43  411.59     nan      nan
531    7585.71   21.61   82.77    3.296
531    7585.71   64.84  127.35   15.976
531    7585.71  108.07  133.75   18.457
531    7585.71  151.30  126.10   18.812
531    7585.71  194.53  122.29   34.106
531    7585.71  237.76  116.81   72.514
531    7585.71  280.98  115.25   58.217
531    7585.71  324.21  116.58   45.959
531    7585.71  367.44  117.85   46.592
531    7585.71  410.67     nan      nan
532    7600.00   21.56   82.28    3.295
532    7600.00   64.68  127.26   15.766
532    7600.00  107.80  134.12   18.664
532    7600.00  150.93  125.78   18.823
532    7600.00  194.05  122.51   33.786
532    7600.00  237.17  116.54   70.318
532    7600.00  280.29  114.28   61.118
532    7600.00  323.41  116.24   45.999
532    7600.00  366.54  117.52   46.484
532    7600.00  409.66     nan      nan
533    7614.29   21.50   81.08    3.267
533    7614.29   64.51  127.56   15.995
533    7614.29  107.52  133.07   18.448
533    7614.29  150.52  125.98   18.625
533    7614.29  193.53  122.45   33.821
533    7614.29  236.53  115.89   72.262
533    7614.29  279.54  114.02   58.048
533    7614.29  322.55  115.83   46.062
533    7614.29  365.55  117.13   46.380
533    7614.29  408.56     nan      nan
534    7628.57   21.44   80.17    3.239
534    7628.57   64.33  126.92   16.139
534    7628.57  107.21  132.89   18.664
534    7628.57  150.10  125.27   18.126
534    7628.57  192.98  122.43   34.035
534    7628.57  235.87  115.34   72.637
534    7628.57  278.75  113.23   58.687
534    7628.57  321.64  115.34   46.159
534    7628.57  364.52  116.69   46.285
534    7628.57  407.40     nan      nan
535    7642.86   21.38   78.76    3.175
535    7642.86   64.13  126.42   16.442
535    7642.86  106.88  130.63   18.636
